trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.8011086156997931	0.059955
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8253326986098372	0.010245
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7716871549620364	0.032465
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.7989331151912369	0.003504
user_artists_n.data__1_3.base	user_artists_n.data__1_3.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7813634771004104	0.023818
user_artists_n.data__1_3.base	user_artists_n.data__1_3.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8042542855626118	0.002781
user_artists_n.data__1_4.base	user_artists_n.data__1_4.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7919016701006482	0.022953
user_artists_n.data__1_4.base	user_artists_n.data__1_4.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8124098425073909	0.002018
user_artists_n.data__1_5.base	user_artists_n.data__1_5.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7743980705060345	0.022923
user_artists_n.data__1_5.base	user_artists_n.data__1_5.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.797911897060313	0.001553
user_artists_n.data__2_1.base	user_artists_n.data__2_1.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7937823549061064	0.021794
user_artists_n.data__2_1.base	user_artists_n.data__2_1.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8180928888486497	0.001456
user_artists_n.data__2_2.base	user_artists_n.data__2_2.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7747261442972331	0.021762
user_artists_n.data__2_2.base	user_artists_n.data__2_2.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.7985360252810064	0.001498
user_artists_n.data__2_3.base	user_artists_n.data__2_3.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7749205127458588	0.022309
user_artists_n.data__2_3.base	user_artists_n.data__2_3.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.7970222579967674	0.001366
user_artists_n.data__2_4.base	user_artists_n.data__2_4.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7898681117354638	0.021882
user_artists_n.data__2_4.base	user_artists_n.data__2_4.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8162118680655708	0.001338
user_artists_n.data__2_5.base	user_artists_n.data__2_5.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7825401920696334	0.021766
user_artists_n.data__2_5.base	user_artists_n.data__2_5.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8071962968747616	0.001617
user_artists_n.data__3_1.base	user_artists_n.data__3_1.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7920415777844299	0.026337
user_artists_n.data__3_1.base	user_artists_n.data__3_1.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8156646629044543	0.001406
user_artists_n.data__3_2.base	user_artists_n.data__3_2.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7912448579542888	0.02269
user_artists_n.data__3_2.base	user_artists_n.data__3_2.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8166391280965255	0.001291
user_artists_n.data__3_3.base	user_artists_n.data__3_3.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7820852453192373	0.021536
user_artists_n.data__3_3.base	user_artists_n.data__3_3.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8051422794285746	0.001422
user_artists_n.data__3_4.base	user_artists_n.data__3_4.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.785293915273932	0.022688
user_artists_n.data__3_4.base	user_artists_n.data__3_4.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8091824926914468	0.002153
user_artists_n.data__3_5.base	user_artists_n.data__3_5.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7770280333869934	0.021483
user_artists_n.data__3_5.base	user_artists_n.data__3_5.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.803463992041957	0.001341
user_artists_n.data__4_1.base	user_artists_n.data__4_1.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7872351458608602	0.021364
user_artists_n.data__4_1.base	user_artists_n.data__4_1.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8134199495638009	0.001398
user_artists_n.data__4_2.base	user_artists_n.data__4_2.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7677040249081988	0.021943
user_artists_n.data__4_2.base	user_artists_n.data__4_2.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.7919083379797848	0.001439
user_artists_n.data__4_3.base	user_artists_n.data__4_3.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7813184922469483	0.020782
user_artists_n.data__4_3.base	user_artists_n.data__4_3.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8080114213874188	0.001331
user_artists_n.data__4_4.base	user_artists_n.data__4_4.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7786187006732334	0.021633
user_artists_n.data__4_4.base	user_artists_n.data__4_4.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8025369775105238	0.001314
user_artists_n.data__4_5.base	user_artists_n.data__4_5.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7945168408513561	0.022557
user_artists_n.data__4_5.base	user_artists_n.data__4_5.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8165041961861598	0.001399
user_artists_n.data__5_1.base	user_artists_n.data__5_1.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7862330799574097	0.022327
user_artists_n.data__5_1.base	user_artists_n.data__5_1.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.812350825492212	0.001384
user_artists_n.data__5_2.base	user_artists_n.data__5_2.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7880150548227896	0.02164
user_artists_n.data__5_2.base	user_artists_n.data__5_2.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8126649249701993	0.001367
user_artists_n.data__5_3.base	user_artists_n.data__5_3.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7727890382278914	0.022351
user_artists_n.data__5_3.base	user_artists_n.data__5_3.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.7950181333465182	0.001446
user_artists_n.data__5_4.base	user_artists_n.data__5_4.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7849022258799481	0.024409
user_artists_n.data__5_4.base	user_artists_n.data__5_4.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8085635450584591	0.001403
user_artists_n.data__5_5.base	user_artists_n.data__5_5.test	size	1	null	useraverage	cosine	adjweighted	null	null	0.7886023428166173	0.021787
user_artists_n.data__5_5.base	user_artists_n.data__5_5.test	size	1	null	averagebased	cosine	adjweighted	null	null	0.8117369085584574	0.001375
