trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1	null	userbased	cosine	weighted	null	null	0.8034545525009422	7.228817
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1	null	userbased	cosine	adjusted	null	null	0.8022828689162288	6.716649
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1	null	userbased	cosine	adjweighted	null	null	0.8022828689162288	7.851956
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1	null	userbased	pearson	weighted	null	null	0.8019906399332779	7.08467
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1	null	userbased	pearson	adjusted	null	null	0.8011678291576226	7.380644
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1	null	userbased	pearson	adjweighted	null	null	0.8011678291576226	6.920319
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	2	null	userbased	cosine	weighted	null	null	0.8187086095156947	6.670953
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	2	null	userbased	cosine	adjusted	null	null	0.815567524464844	6.480013
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	2	null	userbased	cosine	adjweighted	null	null	0.815567524464844	6.466544
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	2	null	userbased	pearson	weighted	null	null	0.8112271853635098	6.806022
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	2	null	userbased	pearson	adjusted	null	null	0.8085850022663726	6.72666
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	2	null	userbased	pearson	adjweighted	null	null	0.8085850022663726	7.507652
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	5	null	userbased	cosine	weighted	null	null	0.8333704616900416	6.85244
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	5	null	userbased	cosine	adjusted	null	null	0.8269748096688242	6.968879
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	5	null	userbased	cosine	adjweighted	null	null	0.8269748096688242	7.305799
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	5	null	userbased	pearson	weighted	null	null	0.8350541194225612	7.552509
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	5	null	userbased	pearson	adjusted	null	null	0.8308114068708121	8.030023
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	5	null	userbased	pearson	adjweighted	null	null	0.8308144966232321	7.342765
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	10	null	userbased	cosine	weighted	null	null	0.8587581296036658	7.155189
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	10	null	userbased	cosine	adjusted	null	null	0.8508904733543	7.057647
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	10	null	userbased	cosine	adjweighted	null	null	0.8508909287884129	7.261369
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	10	null	userbased	pearson	weighted	null	null	0.86179182188804	8.110154
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	10	null	userbased	pearson	adjusted	null	null	0.8507107690384107	7.813295
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	10	null	userbased	pearson	adjweighted	null	null	0.8507233178858843	7.658318
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	20	null	userbased	cosine	weighted	null	null	0.8709669419890554	6.776312
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	20	null	userbased	cosine	adjusted	null	null	0.8604006551156118	6.616631
