trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
1_1.base	1_1.test	threshold	null	0.0	userbased	cosine	adjweighted	null	null	0.3685080709109321	7.975085
1_1.base	1_1.test	threshold	null	0.2	userbased	cosine	adjweighted	null	null	0.3685080709109321	7.349347
1_1.base	1_1.test	threshold	null	0.4	userbased	cosine	adjweighted	null	null	0.3685080709109321	6.743544
1_1.base	1_1.test	threshold	null	0.6	userbased	cosine	adjweighted	null	null	0.3685080709109321	6.787871
1_1.base	1_1.test	threshold	null	0.8	userbased	cosine	adjweighted	null	null	0.3685080709109321	6.893587
1_1.base	1_1.test	threshold	null	1.0	userbased	cosine	adjweighted	null	null	0.5335016257634569	3.499768
1_1.base	1_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.0	0.5561722532646268	0.406617
1_1.base	1_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.2	0.5561722532646268	0.289812
1_1.base	1_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.4	0.5561722532646268	0.282715
1_1.base	1_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.6	0.5561722532646268	0.245033
1_1.base	1_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.8	0.5561722532646268	0.247837
1_1.base	1_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	1.0	0.6327413638998632	0.162095
1_1.base	1_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.0	0.4027468371168716	4.7239
1_1.base	1_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.2	0.4027468371168716	4.69253
1_1.base	1_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.4	0.4027468371168716	4.731207
1_1.base	1_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.6	0.4027468371168716	4.708151
1_1.base	1_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.8	0.4027468371168716	4.613028
1_1.base	1_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	1.0	0.5866839799790675	2.984759
1_2.base	1_2.test	threshold	null	0.0	userbased	cosine	adjweighted	null	null	0.36730813677691543	7.545547
1_2.base	1_2.test	threshold	null	0.2	userbased	cosine	adjweighted	null	null	0.36730813677691543	6.861797
1_2.base	1_2.test	threshold	null	0.4	userbased	cosine	adjweighted	null	null	0.36730813677691543	6.896617
1_2.base	1_2.test	threshold	null	0.6	userbased	cosine	adjweighted	null	null	0.36730813677691543	6.872228
1_2.base	1_2.test	threshold	null	0.8	userbased	cosine	adjweighted	null	null	0.36730855465176354	7.102076
1_2.base	1_2.test	threshold	null	1.0	userbased	cosine	adjweighted	null	null	0.5342065034903005	3.736947
1_2.base	1_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.0	0.5551771331347249	0.277956
1_2.base	1_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.2	0.5551771331347249	0.271174
1_2.base	1_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.4	0.5551771331347249	0.248064
1_2.base	1_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.6	0.5551771331347249	0.23622
1_2.base	1_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.8	0.5551771331347249	0.247923
1_2.base	1_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	1.0	0.6313734347470717	0.154141
1_2.base	1_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.0	0.402589592030428	4.734806
1_2.base	1_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.2	0.402589592030428	4.470574
