trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
0.1_set1.base	0.1_set1.test	threshold	null	0.2	userbased	cosine	adjweighted	null	null	0.8751636212460606	1.421132
0.1_set1.base	0.1_set1.test	threshold	null	0.2	userbased	cosine	centrality0	null	null	0.8798143051927086	1.30331
0.1_set1.base	0.1_set1.test	threshold	null	0.2	userbased	cosine	centrality1	null	null	0.8751714681093591	1.432312
0.1_set1.base	0.1_set1.test	threshold	null	0.2	userbased	cosine	centrality2	null	null	0.8779503711885128	3.188371
0.1_set1.base	0.1_set1.test	threshold	null	0.5	userbased	cosine	adjweighted	null	null	0.8751636212460606	1.205978
0.1_set1.base	0.1_set1.test	threshold	null	0.5	userbased	cosine	centrality0	null	null	0.8798143051927086	1.185714
0.1_set1.base	0.1_set1.test	threshold	null	0.5	userbased	cosine	centrality1	null	null	0.8751714681093591	1.411725
0.1_set1.base	0.1_set1.test	threshold	null	0.5	userbased	cosine	centrality2	null	null	0.8779503711885128	3.144873
0.1_set1.base	0.1_set1.test	threshold	null	0.8	userbased	cosine	adjweighted	null	null	0.8751328010367474	1.16279
0.1_set1.base	0.1_set1.test	threshold	null	0.8	userbased	cosine	centrality0	null	null	0.8797706058742967	1.18033
0.1_set1.base	0.1_set1.test	threshold	null	0.8	userbased	cosine	centrality1	null	null	0.8751544337360154	1.416062
0.1_set1.base	0.1_set1.test	threshold	null	0.8	userbased	cosine	centrality2	null	null	0.8779502734659409	3.143392
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.2	0.8422579568293147	0.24914
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	centrality0	friends_1	0.2	0.842330098454636	0.176784
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	centrality1	friends_1	0.2	0.8422579587001602	0.381622
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	centrality2	friends_1	0.2	0.842229877122368	2.121761
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.5	0.8422579568293147	0.136231
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	centrality0	friends_1	0.5	0.842330098454636	0.140507
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	centrality1	friends_1	0.5	0.8422579587001602	0.374723
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	centrality2	friends_1	0.5	0.842229877122368	2.108083
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.8	0.8422579568293147	0.131208
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	centrality0	friends_1	0.8	0.842330098454636	0.142517
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	centrality1	friends_1	0.8	0.8422579587001602	0.381006
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	centrality2	friends_1	0.8	0.842229877122368	2.126918
