trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
u1.base	u1.test	size	1	null	userbased	cosine	adjweighted	null	null	1.076156523215412	4.443891
u1.base	u1.test	size	2	null	userbased	cosine	adjweighted	null	null	1.0829917998101608	4.315052
u1.base	u1.test	size	5	null	userbased	cosine	adjweighted	null	null	1.100101027482889	4.13497
u1.base	u1.test	size	10	null	userbased	cosine	adjweighted	null	null	1.1200391647351409	4.274906
u1.base	u1.test	size	20	null	userbased	cosine	adjweighted	null	null	1.1283292011023953	4.078449
u1.base	u1.test	size	50	null	userbased	cosine	adjweighted	null	null	1.1410322623807305	4.19119
u1.base	u1.test	size	100	null	userbased	cosine	adjweighted	null	null	1.1317094892512163	4.458
u1.base	u1.test	size	200	null	userbased	cosine	adjweighted	null	null	1.0581639974134822	5.152662
u1.base	u1.test	size	400	null	userbased	cosine	adjweighted	null	null	0.9774544213861033	6.40751
u1.base	u1.test	size	600	null	userbased	cosine	adjweighted	null	null	0.9663589183835353	7.177243
u1.base	u1.test	size	800	null	userbased	cosine	adjweighted	null	null	0.970927421051382	8.051381
u1.base	u1.test	size	1000	null	userbased	cosine	adjweighted	null	null	0.9746345102288491	8.261538
u1.base	u1.test	threshold	null	0.0	userbased	cosine	adjweighted	null	null	0.9746345102288491	7.932717
u1.base	u1.test	threshold	null	0.1	userbased	cosine	adjweighted	null	null	0.9746345102288491	7.401433
u1.base	u1.test	threshold	null	0.2	userbased	cosine	adjweighted	null	null	0.9746345102288491	7.225592
u1.base	u1.test	threshold	null	0.3	userbased	cosine	adjweighted	null	null	0.9746345102288491	7.401059
u1.base	u1.test	threshold	null	0.4	userbased	cosine	adjweighted	null	null	0.9746361890873207	7.092284
u1.base	u1.test	threshold	null	0.5	userbased	cosine	adjweighted	null	null	0.9746313775606747	6.884665
u1.base	u1.test	threshold	null	0.6	userbased	cosine	adjweighted	null	null	0.9746297020919567	7.139622
u1.base	u1.test	threshold	null	0.7	userbased	cosine	adjweighted	null	null	0.9746008053289724	6.963259
u1.base	u1.test	threshold	null	0.8	userbased	cosine	adjweighted	null	null	0.9741739090331153	7.253642
u1.base	u1.test	threshold	null	0.9	userbased	cosine	adjweighted	null	null	0.9712112637920203	6.932643
u1.base	u1.test	threshold	null	1.0	userbased	cosine	adjweighted	null	null	1.1260365861226425	4.213771
u2.base	u2.test	size	1	null	userbased	cosine	adjweighted	null	null	1.0604303484339501	4.685179
u2.base	u2.test	size	2	null	userbased	cosine	adjweighted	null	null	1.067539732989577	4.547328
u2.base	u2.test	size	5	null	userbased	cosine	adjweighted	null	null	1.082289853158202	4.422774
u2.base	u2.test	size	10	null	userbased	cosine	adjweighted	null	null	1.0919321611065376	4.645676
u2.base	u2.test	size	20	null	userbased	cosine	adjweighted	null	null	1.1051771208113346	4.520418
u2.base	u2.test	size	50	null	userbased	cosine	adjweighted	null	null	1.1130002759553013	4.529306
u2.base	u2.test	size	100	null	userbased	cosine	adjweighted	null	null	1.1006886776962623	4.716498
u2.base	u2.test	size	200	null	userbased	cosine	adjweighted	null	null	1.0352275664756334	5.023913
u2.base	u2.test	size	400	null	userbased	cosine	adjweighted	null	null	0.9680283302467836	5.645655
u2.base	u2.test	size	600	null	userbased	cosine	adjweighted	null	null	0.9573227427064966	6.770744
u2.base	u2.test	size	800	null	userbased	cosine	adjweighted	null	null	0.9612240199538781	7.570462
u2.base	u2.test	size	1000	null	userbased	cosine	adjweighted	null	null	0.9649520085673323	8.342888
u2.base	u2.test	threshold	null	0.0	userbased	cosine	adjweighted	null	null	0.964952008567332	7.72204
u2.base	u2.test	threshold	null	0.1	userbased	cosine	adjweighted	null	null	0.964952008567332	7.543104
u2.base	u2.test	threshold	null	0.2	userbased	cosine	adjweighted	null	null	0.964952008567332	7.544659
u2.base	u2.test	threshold	null	0.3	userbased	cosine	adjweighted	null	null	0.964952008567332	7.142662
u2.base	u2.test	threshold	null	0.4	userbased	cosine	adjweighted	null	null	0.9649511945707681	7.033272
u2.base	u2.test	threshold	null	0.5	userbased	cosine	adjweighted	null	null	0.9649450278046188	7.038803
u2.base	u2.test	threshold	null	0.6	userbased	cosine	adjweighted	null	null	0.9649215935967382	7.502598
u2.base	u2.test	threshold	null	0.7	userbased	cosine	adjweighted	null	null	0.9647479905867906	7.384665
u2.base	u2.test	threshold	null	0.8	userbased	cosine	adjweighted	null	null	0.9641628370156475	7.411008
u2.base	u2.test	threshold	null	0.9	userbased	cosine	adjweighted	null	null	0.9609784562573491	6.927258
u2.base	u2.test	threshold	null	1.0	userbased	cosine	adjweighted	null	null	1.1015837993961128	4.006418
u3.base	u3.test	size	1	null	userbased	cosine	adjweighted	null	null	1.047394961760011	4.555788
u3.base	u3.test	size	2	null	userbased	cosine	adjweighted	null	null	1.0626216814802012	4.54708
u3.base	u3.test	size	5	null	userbased	cosine	adjweighted	null	null	1.0815657553862683	4.484937
u3.base	u3.test	size	10	null	userbased	cosine	adjweighted	null	null	1.091251701366828	4.614542
u3.base	u3.test	size	20	null	userbased	cosine	adjweighted	null	null	1.1063225084032902	4.526899
u3.base	u3.test	size	50	null	userbased	cosine	adjweighted	null	null	1.1166918917512412	4.764777
u3.base	u3.test	size	100	null	userbased	cosine	adjweighted	null	null	1.1006674938529872	4.941353
u3.base	u3.test	size	200	null	userbased	cosine	adjweighted	null	null	1.0334774580293526	5.05482
u3.base	u3.test	size	400	null	userbased	cosine	adjweighted	null	null	0.9630239094758101	5.877436
u3.base	u3.test	size	600	null	userbased	cosine	adjweighted	null	null	0.9516937510435302	6.902214
u3.base	u3.test	size	800	null	userbased	cosine	adjweighted	null	null	0.9552166218400667	8.008387
u3.base	u3.test	size	1000	null	userbased	cosine	adjweighted	null	null	0.9581759464058294	8.719251
u3.base	u3.test	threshold	null	0.0	userbased	cosine	adjweighted	null	null	0.9581759464058294	8.178425
u3.base	u3.test	threshold	null	0.1	userbased	cosine	adjweighted	null	null	0.9581759464058294	7.98568
u3.base	u3.test	threshold	null	0.2	userbased	cosine	adjweighted	null	null	0.9581759464058294	7.384688
u3.base	u3.test	threshold	null	0.3	userbased	cosine	adjweighted	null	null	0.9581759464058294	7.344869
u3.base	u3.test	threshold	null	0.4	userbased	cosine	adjweighted	null	null	0.95817632653667	7.657197
u3.base	u3.test	threshold	null	0.5	userbased	cosine	adjweighted	null	null	0.9581674244352919	7.68486
u3.base	u3.test	threshold	null	0.6	userbased	cosine	adjweighted	null	null	0.9581541491762332	7.901043
u3.base	u3.test	threshold	null	0.7	userbased	cosine	adjweighted	null	null	0.9580636316242964	7.99272
u3.base	u3.test	threshold	null	0.8	userbased	cosine	adjweighted	null	null	0.9570995303579224	7.505216
u3.base	u3.test	threshold	null	0.9	userbased	cosine	adjweighted	null	null	0.9558455744400521	7.054895
u3.base	u3.test	threshold	null	1.0	userbased	cosine	adjweighted	null	null	1.107108161206591	4.345004
