trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
0.1_set1.base	0.1_set1.test	social	null	null	socialuser	cosine	adjweighted	friends_1	null	0.8422579568293147	0.456358
0.1_set1.base	0.1_set1.test	social	null	null	socialuser	cosine	adjweighted	friends_2	null	0.8546857401597012	3.229397
0.1_set1.base	0.1_set1.test	social	null	null	socialuser	cosine	adjweighted	friends_3	null	0.8663798884874541	36.720287
0.1_set1.base	0.1_set1.test	social	null	null	socialuser	cosine	adjweighted	friends_4	null	0.8701322180626333	112.351828
0.1_set1.base	0.1_set1.test	social	null	null	socialuser	cosine	adjweighted	friends_5	null	0.8725445228821161	153.998831
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.0	0.8422579568293147	0.335174
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.1	0.8422579568293147	0.132172
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.2	0.8422579568293147	0.136926
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.3	0.8422579568293147	0.134886
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.4	0.8422579568293147	0.135777
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.5	0.8422579568293147	0.136071
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.6	0.8422579568293147	0.132183
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.7	0.8422579568293147	0.132087
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.8	0.8422579568293147	0.1503
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.9	0.8422488625782195	0.155933
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	1.0	0.8416256664393057	0.143983
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.0	0.8546857401597012	3.207959
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.1	0.8546857401597012	1.165241
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.2	0.8546857401597012	1.20274
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.3	0.8546857401597012	1.166463
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.4	0.8546857401597012	1.153221
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.5	0.8546857401597012	1.136495
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.6	0.8546871294841136	1.145725
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.7	0.8546871294841136	1.148002
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.8	0.8546844524788328	1.10895
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.9	0.8546561774528841	1.074215
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	1.0	0.8531268561162062	1.062522
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_3	0.0	0.8663798884874541	33.56405
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_3	0.1	0.8663798884874541	24.173719
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_3	0.2	0.8663798884874541	24.575753
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_3	0.3	0.8663798884874541	24.147604
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_3	0.4	0.8663798884874541	24.516588
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_3	0.5	0.8663798884874541	24.216744
