trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
0.1_set1.base	0.1_set1.test	size	1	null	userbased	cosine	weighted	null	null	0.8446487644480333	2.811176
0.1_set1.base	0.1_set1.test	size	1	null	userbased	cosine	adjusted	null	null	0.8439201651627866	2.894101
0.1_set1.base	0.1_set1.test	size	1	null	userbased	cosine	adjweighted	null	null	0.8439252834689532	1.812359
0.1_set1.base	0.1_set1.test	size	1	null	userbased	pearson	weighted	null	null	0.8446062633162428	2.152549
0.1_set1.base	0.1_set1.test	size	1	null	userbased	pearson	adjusted	null	null	0.8433744630635855	2.501366
0.1_set1.base	0.1_set1.test	size	1	null	userbased	pearson	adjweighted	null	null	0.8434203558271759	2.669966
0.1_set1.base	0.1_set1.test	size	2	null	userbased	cosine	weighted	null	null	0.8467713296938537	2.399044
0.1_set1.base	0.1_set1.test	size	2	null	userbased	cosine	adjusted	null	null	0.8456153674297316	2.977414
0.1_set1.base	0.1_set1.test	size	2	null	userbased	cosine	adjweighted	null	null	0.8456423191745386	2.672268
0.1_set1.base	0.1_set1.test	size	2	null	userbased	pearson	weighted	null	null	0.8485449773261381	2.971087
0.1_set1.base	0.1_set1.test	size	2	null	userbased	pearson	adjusted	null	null	0.8462111943342882	2.750024
0.1_set1.base	0.1_set1.test	size	2	null	userbased	pearson	adjweighted	null	null	0.8462500994974279	2.555774
0.1_set1.base	0.1_set1.test	size	5	null	userbased	cosine	weighted	null	null	0.8538086910524675	2.264912
0.1_set1.base	0.1_set1.test	size	5	null	userbased	cosine	adjusted	null	null	0.8507727087642059	1.864531
0.1_set1.base	0.1_set1.test	size	5	null	userbased	cosine	adjweighted	null	null	0.8505633359438032	2.075362
0.1_set1.base	0.1_set1.test	size	5	null	userbased	pearson	weighted	null	null	0.8559849342867301	2.279478
0.1_set1.base	0.1_set1.test	size	5	null	userbased	pearson	adjusted	null	null	0.8522186939429209	1.963271
0.1_set1.base	0.1_set1.test	size	5	null	userbased	pearson	adjweighted	null	null	0.8517230825498333	2.015685
